OPT_MSE_1000runs,RAND_MSE_1000runs
5.119889533489813,5.345754510184468
5.659215623960294,5.719372870635817
5.532379606528785,5.59797766867043
5.180802097949424,5.488853595611042
4.8344016376729035,4.876107684873419
5.487098707718603,5.561692553813934
4.89877197676293,4.997383357569903
4.662018945918458,4.7793317349235656
6.230990182546135,6.311307371723673
5.03008284320216,5.112644261856576
5.32934073075622,5.471454335641168
6.852588407275938,7.836546711919557
5.202898117059834,5.231201632208115
5.367067677154242,5.522665978004801
5.334601844719745,5.339320944715178
4.494865757328083,4.528089358458448
5.186985896901923,5.3010490977483675
4.56324429264406,4.662623823770857
4.233594261613816,4.256812188129125
5.008005005886554,5.0365780708956205
4.451749779192992,4.497193746064654
4.559211275119833,4.614408456501606
5.860290854108125,6.039582493224625
4.23648996869531,4.359655056287086
4.460700329935738,4.530484273051518
5.731305868516863,5.839870661746161
5.585723708089211,5.627288610215593
6.854730477747305,7.045775014857485
4.638186017439827,4.7210145645871
4.520983075277699,4.592696434439594
6.012698748849556,5.956627737507663
5.403547121929391,5.522162923474733
4.17678701312251,4.227477065821252
5.972507628652051,5.936410238438138
5.525448086822964,5.698600266315496
4.495878555203074,4.516641919825081
4.755907501507885,4.803656510180527
5.389662995436366,5.369679063030457
4.83113153719284,5.001700042065765
5.094878986179749,5.164432398247444
5.583178038594328,5.7893017174813295
5.10722914668679,5.2496992736931105
5.637525902625737,5.498834638352892
4.705199833870667,4.804196185413224
4.392223401554793,4.4986851269221
5.362213608421288,5.28819086265546
5.741411653190139,5.770832247712266
5.5883808825786145,5.699870847522405
5.165907514509814,5.222763857931784
4.170322147881689,4.195751256231061
4.696185190791189,4.807886391193529
4.552831501859045,4.578413933347161
5.070290903301994,5.051974067243023
4.980876638390126,4.986985311241192
6.0775481084547405,6.116605856430296
5.030832722552502,5.110255929056834
4.402081034654346,4.4593291815671625
4.953586931149348,5.063042593707542
5.232790855790438,5.316731653596085
5.239420327636506,5.409814907283904
5.140150244064853,5.156972091965498
4.663014457145262,4.712708814599118
4.197973349942636,4.287955569823826
4.743053801374643,4.808155845051542
5.821424132456888,5.8693308154814305
