OPT_MSE_1000runs,OPT_W_Weights_MSE_1000runs,RAND_MSE_1000runs,RAND_W_Weights_MSE_1000runs
3600.5246623963385,4411.26632830779,3494.6844257660796,3494.6844257660796
3347.8558038861256,5675.186841983774,3588.340666196899,3588.340666196899
7728.961745243314,8707.430392907532,6081.244973242324,6081.244973242324
5734.797347269308,7061.39390094887,6177.548673573266,6177.548673573266
2618.8052447114787,2699.0302742449508,2563.5211089188,2563.5211089188
9673.92345767096,7705.36909598968,9502.22246516854,9502.22246516854
3987.746151135164,8766.438613061797,3894.947127490774,3894.947127490774
3239.9388336197017,6120.418065703516,3128.8890672407683,3128.8890672407683
3683.9175930556758,4167.090561474421,4591.270268416231,4591.270268416231
4033.685901835758,5210.045059108724,4231.111154332502,4231.111154332502
3104.179534158135,4668.711417389319,4706.206186442388,4706.206186442388
4407.7132972346635,11141.920613546165,5067.804719227714,5067.804719227714
3441.20801294894,3329.725564689669,3202.7660378326136,3202.7660378326136
7046.4925084797505,4912.151120520656,6434.357500209706,6434.357500209706
3512.573000148456,4542.189986791162,3167.2037098981345,3167.2037098981345
6711.8143085653155,7681.0826691115,7970.89567561954,7970.89567561954
4556.997237370473,8552.195461202047,4384.696772406033,4384.696772406033
5788.427766515672,7156.643777040257,4948.526910635748,4948.526910635748
3555.30459448097,3488.5057073171665,3453.192209678009,3453.192209678009
3041.2248434867483,9415.120683925757,2954.968767360079,2954.968767360079
8706.287244956218,5655.54641181402,11748.003322211818,11748.003322211818
2792.364517215959,3291.2405958399772,2723.111817588275,2723.111817588275
5792.626965886727,8479.69396329879,5239.5046444878035,5239.5046444878035
3076.680676963881,7349.501823603641,3358.2584679161773,3358.2584679161773
2600.0908739252536,3709.5066496397194,2457.91904497379,2457.91904497379
2776.086287551128,6686.121072753083,2926.700516435611,2926.700516435611
5039.025960604752,9842.578895109644,4281.749982586879,4281.749982586879
3400.409081189372,9207.095092040565,3019.009675349116,3019.009675349116
3898.8541654751657,5188.193580518059,3218.545041462227,3218.545041462227
3412.139909172436,4239.127616722121,3336.0573137680544,3336.0573137680544
3002.1820403220504,4941.343863462572,2938.4410058846443,2938.4410058846443
3832.2340991260294,6276.121647412922,3465.5562538494682,3465.5562538494682
4548.198020473936,5879.967125957557,4657.829331836443,4657.829331836443
3938.517258663465,5357.899457645046,3983.7670273816193,3983.7670273816193
3593.354758427494,9347.561110042541,4422.792886476796,4422.792886476796
3997.9771109445683,5984.280992810904,4071.4655823760017,4071.4655823760017
7538.254737267584,6735.119742449921,7229.989800762431,7229.989800762431
4586.68013683891,8269.633702815509,3822.7800990304886,3822.7800990304886
3410.6203665270245,4591.165378319822,3662.155291181386,3662.155291181386
3125.101008633804,4225.83203745914,3115.3970859263177,3115.3970859263177
3975.7501162419057,5515.055676735518,3581.7598075486903,3581.7598075486903
7994.348174537428,9216.653977859936,7163.750961400026,7163.750961400026
3145.515692371412,5662.2293587199,3411.6535937502945,3411.6535937502945
3439.99490717162,7709.767670133992,3084.7070011400597,3084.7070011400597
4120.4919996684075,7091.1717744401985,3929.948642286524,3929.948642286524
4174.407555398856,4036.4948213893126,4204.157023344838,4204.157023344838
5149.785558666129,7920.393306089986,5088.998743502567,5088.998743502567
3465.1244828512727,3787.8200307064794,3425.190222208334,3425.190222208334
6206.61946984926,11181.269023064293,6030.827996328798,6030.827996328798
3418.1008630033257,4976.597742343921,3558.8627421594083,3558.8627421594083
5309.375856510182,6946.230044757889,5851.061696423402,5851.061696423402
3428.5954152647,4548.183249816624,2688.9494009181135,2688.9494009181135
3760.299730740686,10022.423870192646,5765.257068750796,5765.257068750796
9280.281200133217,6844.772828628973,9517.368331831178,9517.368331831178
4307.73631132754,12684.115563524363,3739.2357971702363,3739.2357971702363
3577.8817636204726,6517.935529523521,4285.62317356823,4285.62317356823
5124.809622810812,7487.301047559759,3722.6269323840747,3722.6269323840747
3636.1637836378422,10422.468794778968,4139.092334192662,4139.092334192662
3500.5142487700555,5303.5683679342665,3501.2915813365507,3501.2915813365507
3232.567937444103,4345.272270305938,3217.842042359172,3217.842042359172
3616.7324444800365,6523.425581521097,3956.2180859838954,3956.2180859838954
4319.992680121252,6016.318877497986,4698.390600194766,4698.390600194766
3696.1008439909597,4937.537714894391,3437.5451782632417,3437.5451782632417
4533.041956767499,12077.7618919095,4992.2340307428,4992.2340307428
4245.091259067018,5539.181264361763,4136.313958061345,4136.313958061345
2875.384340594336,4218.307448201833,2806.800864049691,2806.800864049691
3224.8810181826543,9593.849766293792,3429.0637045030267,3429.0637045030267
4032.7579961988613,5548.541473866744,4043.6082262174814,4043.6082262174814
3345.844536266228,4521.838828427934,3157.6396621416416,3157.6396621416416
9893.139122785202,7934.860357523792,10823.285506664512,10823.285506664512
3110.6007248037386,3754.654946211511,3207.6404293257892,3207.6404293257892
3154.966719765018,4120.212202008763,3418.3317418540605,3418.3317418540605
5711.220778898956,4775.991700087829,4487.994195212879,4487.994195212879
4625.544707960665,7941.444065875321,3820.118570699666,3820.118570699666
11304.922755716454,11463.844748148225,11260.366520192261,11260.366520192261
9313.089244411825,6855.443576142436,9451.804140239014,9451.804140239014
9887.7854854061,8013.907203157454,10320.280848538192,10320.280848538192
7407.762638788432,10255.680075514227,7105.007392747753,7105.007392747753
3546.3423754255355,4000.822648015059,3388.6754985110415,3388.6754985110415
3112.3853274259623,4047.6835909205693,3109.1777235376467,3109.1777235376467
2901.0207417169577,7275.431463885383,3094.631826565024,3094.631826565024
7437.771173205659,3535.3763247935235,10450.489694321024,10450.489694321024
3421.671605695064,8047.759368708992,3524.583827925681,3524.583827925681
2557.085098841929,7234.0673000173965,2508.4808441368946,2508.4808441368946
14068.270256482423,7992.739052761303,13191.93737318798,13191.93737318798
4216.381176363529,8081.777352434003,4544.803123183571,4544.803123183571
6810.615060512068,13393.295366289778,6237.1792733352995,6237.1792733352995
3190.1301261193503,4480.70646059839,2702.2215826201364,2702.2215826201364
3098.5135111237796,5892.072560515853,3307.038146537919,3307.038146537919
3712.1034035399816,11604.618454593352,2986.165161841896,2986.165161841896
4507.569164633621,7514.164901029317,4473.574687935846,4473.574687935846
7268.306107416982,7744.628179041234,6629.415280839272,6629.415280839272
2966.604282760839,3389.600869284344,2682.7940493130377,2682.7940493130377
3459.1679458732287,4539.357574181258,3640.66536205,3640.66536205
2890.836303690913,5071.751207720563,2652.4798069269596,2652.4798069269596
3656.376164593759,5477.277980534813,4138.233671966161,4138.233671966161
9189.501735445598,6660.223629578361,9710.332565936458,9710.332565936458
3392.109218109476,5023.036924928833,3873.612608997698,3873.612608997698
9181.016439196668,5579.7348859263975,8647.167837652816,8647.167837652816
3655.3558586614527,4730.831625495383,3644.4304249229303,3644.4304249229303
3607.889916444434,5281.276458954033,3611.0717646449907,3611.0717646449907
4056.844323591676,7962.1863670663915,4199.127976364689,4199.127976364689
10443.797972132805,8988.615806618436,10741.61765485124,10741.61765485124
4707.345858956679,10340.202447235977,4454.1444842362425,4454.1444842362425
3383.988490258014,5166.275116983525,3093.665870131512,3093.665870131512
4578.717924466793,7784.085091257852,3449.697365916146,3449.697365916146
4005.0563115643836,7305.189460406317,3757.059399825568,3757.059399825568
11363.205599542689,7735.943774825473,10684.801804699455,10684.801804699455
4137.4012531453,3985.339852509479,4234.657741393382,4234.657741393382
8838.439052503678,7519.543567814576,9048.504662885798,9048.504662885798
5670.507647500021,9340.820183371005,5554.405423531831,5554.405423531831
6800.476870550973,7948.404485452769,6575.687364453124,6575.687364453124
3404.7681688629923,3982.2991599435113,3561.8383011105934,3561.8383011105934
3018.6630515955767,4338.4290969011945,2629.8855248566674,2629.8855248566674
6581.86293513735,11986.540328572779,7554.534398068779,7554.534398068779
3387.536260720414,10473.140916212411,5738.137426857125,5738.137426857125
3404.3120639862927,4268.932055157769,3065.4873019192783,3065.4873019192783
4400.274119231418,7783.890259807636,4974.385815411438,4974.385815411438
6603.1736191069385,5116.916897347206,5645.652192320595,5645.652192320595
