OPT_MSE_1000runs,RAND_MSE_1000runs
385.3762008401406,235.77951380099694
4111.648822352745,6894.147391915248
432.87737071263916,299.51142721618595
4735.4633146444885,5733.018850437021
281.76390524437255,363.98897013881486
313.3063771361096,601.641184943278
10428.780784187222,7358.5658505096
254.49168473191588,234.64046012136092
8454.175981943303,8751.354090383193
164.20856789653632,115.5366106530137
203.15531523203367,229.96360659073113
4761.53888692776,6733.078427244025
1303.499700668836,1400.1611806569672
4734.423134527453,4368.407073649178
1972.5922443530096,1841.3973625984231
4087.008890456886,4420.416897608224
4093.960230351866,4608.271304561298
2173.315488840567,2271.1234295917798
200.66369950692228,99.79667750895214
4158.484965062795,5954.627063935084
4408.901943482912,5102.500123905074
285.08976178016985,771.3673151624156
292.97017066016355,364.35246639537615
108.65963340008292,137.14875400507273
2303.6183195918647,3124.429840351648
4551.715463186977,6367.200329663178
92.29444051345796,91.97080709702185
2488.433940638359,2165.459827525517
315.524833239586,289.8134449885832
360.58278539379836,310.3186181882668
4836.390483483892,3792.5300319545695
6825.190079511413,10293.815441706285
4522.906900554027,7194.333993217538
3183.948112951278,3718.6711339101116
4444.239190457601,4554.401077349692
6998.309696493888,11573.158347935761
2672.699227639456,3071.7954934581085
294.06823591110503,264.013128774945
4527.54283124954,5379.817427559911
2262.289807820619,1880.8516728468458
496.7853298452549,496.4224146164614
297.1634179307686,183.61483811450321
4453.407602365291,6571.12280857725
359.91377859879145,365.4906889609058
136.561866808052,157.83058759693736
436.81143271689024,570.1397849010393
8118.112897575663,9236.961214507352
8869.851884888043,17154.330572269817
160.60334211294327,237.61796189017653
1561.4587809023349,2016.8138221146219
205.51283174659005,269.95138276204335
182.25181060507958,156.6877737631295
4174.419050945333,4838.705964826518
1589.5501351370008,1573.2823035756908
4835.029111857461,4068.2804816151875
4448.256467698919,5115.462961291291
2764.452630482999,3166.105740585519
11402.400181292689,14031.104551488777
1379.9270523373664,1728.8765450732126
179.26348056741196,105.50964300841129
254.3478239091627,216.33306058855894
118.47144179822817,119.2968916569565
323.03505219388757,218.50621316625347
1999.5109598667855,1933.1502139976753
127.88997711454815,40.82322471299155
4608.568657504884,8305.811252065732
4909.569357037325,5218.34818934029
296.81538004880684,253.4762800880635
4464.5868139282165,7570.79522952285
161.5082615318013,142.32095239133932
4255.066274196826,7731.024817740275
805.3203581391446,555.2425206744325
289.0534916034731,376.37702054952024
345.76941941311395,281.1415065541827
525.5047190097396,405.5701562635021
224.48690484463484,173.4504563937068
13491.736698931074,16776.788770096817
4914.662851158686,5741.707967747205
5010.937086850686,5677.139277369391
310.521911446751,201.6465818473141
700.8919456881608,464.18598887163853
1333.0058830007756,1840.6592852904062
4568.9872472245725,6862.056849408477
326.54615705328206,256.56963953844945
213.10194568658193,219.81461458513346
8251.56793311381,10741.60990629528
257.5771947915507,187.7511190052731
2100.7577789695197,3176.0643653169877
2475.0689260398785,3126.888205236164
116.44061662294004,161.33074074670594
1484.8755237802604,1615.7286186425695
357.1045874261352,351.72598757520706
192.39987449010192,203.7912122366472
212.86188065861327,126.80305356881365
2442.9425630541905,2731.0932126567536
224.74777374406915,143.24739346301402
194.92896985520923,179.50380550442642
127.18764776134529,84.12999101756886
225.96555320327968,210.36969229718966
1468.5802801568138,1739.4896507269575
109.60420627152186,104.59925261153153
59.90255939438157,156.46870621438734
98.18658980256417,110.52921393154054
213.21159645900758,175.70326509603916
734.5390812137973,362.9724716234287
201.3396230911227,147.0913766237564
73.95084134948173,80.99908547689415
1648.4981294732802,1729.8348505953857
2465.421607686151,2759.258359932069
4456.338195107963,6697.598460911647
14705.543531717934,20442.49681542083
4179.498679839381,3528.7107014604894
2213.217781504498,4788.256637464609
2029.9546778607653,2644.271401468729
245.42783436256204,278.3716580574727
70.72679211973526,64.06992386612238
545.6722999850045,494.13683435916454
434.82740508751203,660.3635618866695
524.1866432094155,546.3751952364963
4722.663777922889,4514.889947378996
4860.766858514787,3392.3500360235457
14554.191528718584,16569.487774082987
251.44365559116952,352.97697335593136
471.418868862997,437.87892996317436
4362.640405551287,6578.752008365443
4662.077470867117,5666.818802581846
6611.002566080167,7111.09128103195
1776.5269423719312,1701.8320321427896
156.6180121631854,179.36629777222257
1403.7577674584961,1483.3488117154188
496.2745032904285,1086.167964327893
436.25209492296614,442.58893027705943
13707.43929868611,14984.327056496879
591.6780020191529,644.4905684682114
1750.5115402783115,1745.4042551802395
174.67859088289174,323.61115583766195
107.35102393216394,86.95291465774658
156.59968498904442,183.92175923568288
275.7066952414509,230.9819685835801
11775.509972503167,15556.374868361085
1334.4391741496415,1418.8119078005361
4606.550396758814,5168.97388466602
4703.563215836898,7440.99067385292
498.2695807161114,612.021642205848
8101.825703927355,13102.678477725949
580.1470263375352,847.5682875662959
301.6414805779017,309.6585392227932
89.74314775051064,72.4244256690455
261.60230793958414,280.10298335252
754.5724842535672,1393.310033614945
428.1975939087638,453.8956998391932
9348.79188492124,13687.469837500763
213.35076658592953,202.334469287636
116.94648652669375,127.51070370589845
152.64929877121617,305.51399773508234
302.6528850040461,243.08450756138916
215.64990283159736,104.92840778197461
496.7673535896485,284.4660944609627
2440.437450230393,2683.173491623287
